index,order_id,date,status,fulfilment,sales_channel,ship-service-level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship-city,ship-state,ship-postal-code,ship-country,b2b,fulfilled-by
35,402-2764952-1492318,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5001,MEN5001-KR-XL,kurta,XL,B08YYRH2Q6,Shipped,1,INR,499.0,LUCKNOW,UTTAR PRADESH,226016.0,IN,False,Easy Ship
42,406-7398201-3869914,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2153,JNE2153-KR-278-A-M,kurta,M,B0794YR85H,Shipped,1,INR,424.0,MUMBAI,MAHARASHTRA,400092.0,IN,False,Easy Ship
49,171-9208368-0157156,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,Shipped,1,INR,399.0,KEWALPUR,UTTAR PRADESH,271881.0,IN,False,Easy Ship
60,171-2592464-6846743,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW005,NW005-ST-PJ-XL,Set,XL,B0922WJ27J,Shipped,1,INR,599.0,BENGALURU,KARNATAKA,560023.0,IN,False,Easy Ship
70,405-9966506-3155561,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3068,JNE3068-KR-A-XL,kurta,XL,B07H7F97S4,Shipped,1,INR,696.0,CHENNAI,TAMIL NADU,600041.0,IN,False,Easy Ship
72,407-2189901-7515567,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET386,SET386-KR-NP-S,Set,S,B09K3YFPSS,Shipped,1,INR,631.0,bangalore,KARNATAKA,560001.0,IN,False,Easy Ship
74,406-1326801-8886709,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3467,JNE3467-KR-XL,kurta,XL,B08CDQKS84,Shipped,1,INR,362.0,BERHAMPUR,ODISHA,760002.0,IN,False,Easy Ship
85,407-6599093-6553153,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038,BTM038-PP-XXXL,Bottom,3XL,B08KR9JYNQ,Shipped,1,INR,377.0,KOLKATA,WEST BENGAL,700078.0,IN,False,Easy Ship
88,403-1162895-2484367,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295,J0295-DR-XXL,Western Dress,XXL,B099NSGTJ9,Shipped,1,INR,859.0,JAIPUR,RAJASTHAN,303905.0,IN,False,Easy Ship
92,405-1879750-2639521,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3801,JNE3801-KR-XXXL,kurta,3XL,B09SDYSR1F,Shipped,1,INR,725.0,CHENNAI,TAMIL NADU,600028.0,IN,False,Easy Ship
102,408-7698765-2294756,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET277,SET277-KR-NP-XXL,Set,XXL,B0983FZLXC,Shipped,1,INR,1338.0,AMBARNATH,MAHARASHTRA,421502.0,IN,False,Easy Ship
103,404-1856281-9996319,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0293,J0293-DR-S,Western Dress,S,B099NQ1SKZ,Shipped,1,INR,472.0,GWALIOR,MADHYA PRADESH,474005.0,IN,False,Easy Ship
105,405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET154,SET154-KR-NP-XL,Set,XL,B082PXMCZ4,Shipped,1,INR,832.0,ROHTAK,HARYANA,124001.0,IN,False,Easy Ship
106,405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3439,JNE3439-KR-XL,kurta,XL,B081X4KQ14,Shipped,1,INR,399.0,ROHTAK,HARYANA,124001.0,IN,False,Easy Ship
109,403-7266170-1163500,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3648,JNE3648-TP-N-M,Top,M,B08ZH9GDTY,Shipped,1,INR,518.0,MUMBAI,MAHARASHTRA,400076.0,IN,False,Easy Ship
122,406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET324,SET324-KR-NP-S,Set,S,B09NQ4CZ65,Shipped,1,INR,597.0,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN,False,Easy Ship
123,406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET332,SET332-KR-PP-S,Set,S,B09NQ33VW2,Shipped,1,INR,549.0,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN,False,Easy Ship
129,405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5032,MEN5032-KR-XXXL,kurta,3XL,B08YZ2ZXT7,Shipped,1,INR,579.0,BENGALURU,KARNATAKA,560055.0,IN,False,Easy Ship
138,408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET110,SET110-KR-PP-M,Set,M,B0822TDMYH,Shipped,1,INR,788.0,CHIRMIRI,CHHATTISGARH,497449.0,IN,False,Easy Ship
146,171-0131752-2560336,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET355,SET355-KR-PP-M,Set,M,B09RKDPHFP,Shipped,1,INR,1399.0,BARABANKI,UTTAR PRADESH,225001.0,IN,False,Easy Ship
147,407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0009,J0009-SKD-S,Set,S,B0894X8979,Shipped,1,INR,999.0,AMILA,UTTAR PRADESH,275301.0,IN,False,Easy Ship
150,404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3373,JNE3373-KR-XXXL,kurta,3XL,B082W7MZVQ,Shipped,1,INR,376.0,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,False,Easy Ship
159,407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2014,JNE2014-KR-178-XL,kurta,XL,B077MM3LFJ,Shipped,1,INR,353.0,PARAVUR,KERALA,683513.0,IN,False,Easy Ship
160,171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3612,JNE3612-KR-S,kurta,S,B091Q7G4PC,Shipped,1,INR,399.0,BASTI,UTTAR PRADESH,272001.0,IN,False,Easy Ship
164,407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Shipped,1,INR,399.0,Mahendragarh,HARYANA,123027.0,IN,False,Easy Ship
172,405-2660443-4165145,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,Shipped,1,INR,399.0,BENGALURU,KARNATAKA,560022.0,IN,False,Easy Ship
177,407-4097885-3129958,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3654,JNE3654-TP-L,Top,L,B09B3GS5CM,Shipped,1,INR,387.0,VASAI VIRAR,MAHARASHTRA,401202.0,IN,False,Easy Ship
186,405-0732969-3941948,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0147,J0147-SET-XL,Set,XL,B091Z8TV5Q,Shipped,1,INR,583.0,NEW TOWN,WEST BENGAL,700059.0,IN,False,Easy Ship
196,404-6680046-0839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Shipped,1,INR,744.0,Chennai,TAMIL NADU,600117.0,IN,False,Easy Ship
203,407-7173744-5333154,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3453,JNE3453-KR-S,kurta,S,B085HMWJ4R,Shipped,1,INR,497.0,NEW DELHI,DELHI,110074.0,IN,False,Easy Ship
212,408-4547464-4180323,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3568,JNE3568-KR-XXL,kurta,XXL,B08KRYXSYH,Shipped,1,INR,0.0,BHUBANESWAR,ODISHA,752054.0,IN,False,Easy Ship
217,171-4350114-4299568,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3662,JNE3662-TP-XS,Top,XS,B0986ZVL6Y,Shipped,1,INR,399.0,PUNE,MAHARASHTRA,412207.0,IN,False,Easy Ship
224,407-4737202-9096304,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-M,Western Dress,M,B09SDXTRS9,Shipped,1,INR,725.0,GAYA,BIHAR,823001.0,IN,False,Easy Ship
235,406-2403215-8361103,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET300,SET300-KR-NP-L,Set,L,B09KXTBZ3N,Shipped,1,INR,999.0,BENGALURU,KARNATAKA,560102.0,IN,False,Easy Ship
236,404-6578109-5618751,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3384,JNE3384-KR-M,kurta,M,B084KYYXR3,Shipped,1,INR,295.0,BENGALURU,KARNATAKA,560100.0,IN,False,Easy Ship
244,403-5977671-8855508,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,SET304,SET304-KR-DPT-XS,Set,XS,B09K3LRR2T,Shipped,1,INR,1115.0,COOCH BEHAR,WEST BENGAL,736101.0,IN,False,Easy Ship
246,404-0696150-3898703,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0348,J0348-SET-S,Set,S,B09HNSNWRH,Shipped,1,INR,499.0,PUNE,MAHARASHTRA,411037.0,IN,False,Easy Ship
247,406-7586136-6520337,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0399,J0399-DR-M,Western Dress,M,B09SDYL6L2,Shipped,1,INR,791.0,DEHRADUN,UTTARAKHAND,248009.0,IN,False,Easy Ship
253,405-9144614-1601126,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5021,MEN5021-KR-XL,kurta,XL,B08YYVLZVH,Shipped,1,INR,533.0,Secunderabad,TELANGANA,500010.0,IN,False,Easy Ship
261,171-4607096-6413920,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET184,SET184-KR-PP-XXXL,Set,3XL,B08W98B8ZN,Shipped,1,INR,563.0,NAGPUR,MAHARASHTRA,440036.0,IN,False,Easy Ship
263,404-6975277-1927553,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697,JNE3697-KR-XXL,kurta,XXL,B098133PV5,Shipped,1,INR,458.0,BERHAMPORE,WEST BENGAL,742103.0,IN,False,Easy Ship
266,171-1584788-8864335,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0013,J0013-SKD-XXL,Set,XXL,B08CMRGFFJ,Shipped,1,INR,1099.0,MUMBAI,MAHARASHTRA,400101.0,IN,False,Easy Ship
282,408-4101226-7217932,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3802,JNE3802-KR-M,kurta,M,B09K3W2LHF,Shipped,1,INR,459.0,LUCKNOW,UTTAR PRADESH,226010.0,IN,False,Easy Ship
290,402-4774686-7773937,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3652,JNE3652-TP-N-XL,Top,XL,B08ZHXGSW3,Shipped,1,INR,339.0,HYDERABAD,TELANGANA,500001.0,IN,False,Easy Ship
292,406-6386989-1689108,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET303,SET303-KR-NP-XL,Set,XL,B09K3F7D9H,Shipped,1,INR,888.0,BARUIPUR,WEST BENGAL,700145.0,IN,False,Easy Ship
294,408-6428766-2839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3256,JNE3256-KR-XXXL,kurta,3XL,B07RSWN1C4,Shipped,1,INR,487.0,KENDRAPARA,ODISHA,754211.0,IN,False,Easy Ship
302,406-6586654-6641140,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3564,JNE3564-KR-XXXL,kurta,3XL,B09B2FNCBT,Shipped,1,INR,487.0,BENGALURU,KARNATAKA,560010.0,IN,False,Easy Ship
308,407-2882576-2777135,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,Shipped,1,INR,1233.0,HYDERABAD,TELANGANA,500089.0,IN,False,Easy Ship
309,403-2256919-4846738,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3881,JNE3881-DR-XXXL,Western Dress,3XL,B09VC3ST6H,Shipped,1,INR,825.0,BENGALURU,KARNATAKA,560068.0,IN,False,Easy Ship
313,402-4646784-8411501,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471.0,CHANDI MANDIR,HARYANA,134107.0,IN,False,Easy Ship
314,405-2788163-4515521,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3522,JNE3522-KR-XXL,kurta,XXL,B08W9K3MXR,Shipped,1,INR,342.0,ujjain,MADHYA PRADESH,456010.0,IN,False,Easy Ship
326,402-5302912-6805151,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-M,Western Dress,M,B09SDXTRS9,Shipped,1,INR,725.0,HYDERABAD,TELANGANA,500073.0,IN,False,Easy Ship
329,408-5540360-9479519,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET183,SET183-KR-DH-M,Set,M,B08B3Z2YY3,Shipped,1,INR,759.0,SHILLONG,MEGHALAYA,793008.0,IN,False,Easy Ship
340,407-8580022-5578715,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Shipped,1,INR,744.0,GURUGRAM,HARYANA,122018.0,IN,False,Easy Ship
343,408-7712483-3825907,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3805,JNE3805-KR-L,kurta,L,B09K3ZKHMW,Shipped,1,INR,459.0,ALLAHABAD,UTTAR PRADESH,211004.0,IN,False,Easy Ship
356,402-3660716-8589107,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471.0,trivandrum,KERALA,695003.0,IN,False,Easy Ship
359,406-9941718-1734719,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3759,JNE3759-KR-XL,kurta,XL,B099FB2C9L,Shipped,1,INR,544.0,BENGALURU,KARNATAKA,560072.0,IN,False,Easy Ship
374,408-5020509-5674715,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-M,Western Dress,M,B09SDXTRS9,Shipped,1,INR,0.0,NEW DELHI,DELHI,110096.0,IN,False,Easy Ship
375,407-7642883-3094732,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0401,J0401-DR-L,Western Dress,L,B09SDXN14H,Shipped,1,INR,885.0,SIBSAGAR,ASSAM,785667.0,IN,False,Easy Ship
378,405-9442254-2207515,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3368,PJNE3368-KR-6XL,kurta,6XL,B09PY99SVJ,Shipped,1,INR,505.0,Pathanapuram,KERALA,689695.0,IN,False,Easy Ship
382,406-4970885-3273941,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3799,JNE3799-KR-XL,kurta,XL,B09SDYHWLX,Shipped,1,INR,666.0,PUNE,MAHARASHTRA,411047.0,IN,False,Easy Ship
383,406-2942566-8263534,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Shipped,1,INR,399.0,MAHBUBNAGAR,TELANGANA,509001.0,IN,False,Easy Ship
384,406-7501816-7391539,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3294,JNE3294-KR-S,kurta,S,B07R5W78SS,Shipped,1,INR,432.0,Nk sweets Vikasnagar,UTTARAKHAND,248198.0,IN,False,Easy Ship
388,408-7971979-8745937,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0401,J0401-DR-XS,Western Dress,XS,B09SDXYWYN,Shipped,1,INR,0.0,LUDHIANA,PUNJAB,141001.0,IN,False,Easy Ship
414,406-3702147-1800341,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-XS,Western Dress,XS,B09SDY9SQ6,Shipped,1,INR,725.0,HYDERABAD,TELANGANA,500094.0,IN,False,Easy Ship
421,402-0251823-0845133,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3500,JNE3500-KR-S,kurta,S,B09812MBCD,Shipped,1,INR,353.0,SHILLONG,MEGHALAYA,793022.0,IN,False,Easy Ship
431,407-3562449-1962729,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0096,J0096-KR-S,kurta,S,B089G356KM,Shipped,1,INR,568.0,RAMANAGARA,KARNATAKA,562159.0,IN,False,Easy Ship
433,407-7607527-1189964,2022-04-30,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,J0096,J0096-KR-S,kurta,S,B089G356KM,Shipped,1,INR,568.0,RAMANAGARA,KARNATAKA,562159.0,IN,False,Easy Ship
438,404-1051549-5381167,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,Shipped,1,INR,399.0,KHAMMAM,TELANGANA,507003.0,IN,False,Easy Ship
441,408-6732772-4525113,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0010,J0010-LCD-XS,Set,XS,B08BJQVTHS,Shipped,1,INR,0.0,AURANGABAD,MAHARASHTRA,431002.0,IN,False,Easy Ship
442,171-7068385-2777168,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET186,SET186-KR-DH-K-M,Set,M,B08B4TP9NR,Shipped,1,INR,631.0,Pune,MAHARASHTRA,411014.0,IN,False,Easy Ship
450,408-5824761-8505932,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3440,JNE3440-KR-N-XL,kurta,XL,B081WPK66G,Shipped,1,INR,399.0,noida,UTTAR PRADESH,201301.0,IN,False,Easy Ship
466,408-0266080-9401113,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,J0213,J0213-TP-L,Top,L,B0965KR7YJ,Shipped,1,INR,599.0,GURUGRAM,HARYANA,122022.0,IN,False,Easy Ship
467,404-6096382-3389133,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BL110,BL110-XL,Blouse,XL,B0929B9QB7,Shipped,1,INR,329.0,LUDHIANA,PUNJAB,141012.0,IN,False,Easy Ship
476,404-6734371-2217151,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5031,MEN5031-KR-XXXL,kurta,3XL,B08YYT14HH,Shipped,1,INR,549.0,BENGALURU,KARNATAKA,560078.0,IN,False,Easy Ship
479,408-6497115-2636366,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET351,SET351-KR-NP-L,Set,L,B09KXVHNS4,Shipped,1,INR,599.0,HYDERABAD,TELANGANA,500067.0,IN,False,Easy Ship
481,171-7904830-1900363,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5021,MEN5021-KR-XXL,kurta,XXL,B08YYSWWGK,Shipped,1,INR,533.0,HYDERABAD,TELANGANA,500075.0,IN,False,Easy Ship
491,406-0361691-7797129,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3487,JNE3487-KR-XXL,kurta,XXL,B08RNX8Q22,Shipped,1,INR,362.0,MUMBAI,MAHARASHTRA,400095.0,IN,False,Easy Ship
495,405-2266530-9531500,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-XXXL,Set,3XL,B099NFZJVC,Shipped,1,INR,563.0,KALYAN,MAHARASHTRA,421004.0,IN,False,Easy Ship
507,405-5489495-6651552,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET332,SET332-KR-PP-L,Set,L,B09NQ39KJ6,Shipped,1,INR,549.0,ALMORA,UTTARAKHAND,263601.0,IN,False,Easy Ship
511,406-2138801-8731538,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3449,JNE3449-KR-XXXL,kurta,3XL,B08CBC2J5H,Shipped,1,INR,319.0,CHENNAI,TAMIL NADU,600089.0,IN,False,Easy Ship
515,405-5365766-8023559,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0301,J0301-TP-M,Top,M,B099S9DTR2,Shipped,1,INR,463.0,WARANGAL,TELANGANA,506001.0,IN,False,Easy Ship
529,403-3362230-0094739,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471.0,BENGALURU,KARNATAKA,560021.0,IN,False,Easy Ship
552,402-3889665-2309117,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0201,J0201-TP-L,Top,L,B0965LLRJW,Shipped,1,INR,625.0,PUNE,MAHARASHTRA,411001.0,IN,False,Easy Ship
560,405-2826187-6916328,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3690,JNE3690-TU-L,Top,L,B094FKG8H7,Shipped,1,INR,518.0,NEW DELHI,DELHI,110075.0,IN,False,Easy Ship
569,402-1220435-6391519,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3500,JNE3500-KR-XXL,kurta,XXL,B09812JNRT,Shipped,1,INR,364.0,THANE,MAHARASHTRA,400615.0,IN,False,Easy Ship
579,402-5917367-0340362,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0416,J0416-DR-S,Western Dress,S,B09TXYX9Y8,Shipped,1,INR,825.0,Ahmedabad,Gujarat,380054.0,IN,False,Easy Ship
583,403-6658095-6765934,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0096,J0096-KR-XS,kurta,XS,B089FZXRFW,Shipped,1,INR,568.0,Jhajjar,HARYANA,124103.0,IN,False,Easy Ship
595,407-8925293-2306747,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0372,J0372-SKD-L,Set,L,B09K3T3BV4,Shipped,1,INR,1099.0,Janipur,JAMMU & KASHMIR,180007.0,IN,False,Easy Ship
611,404-2222453-6739538,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET375,SET375-KR-NP-XXL,Set,XXL,B09RKDDLL2,Shipped,1,INR,696.0,BASSEIN,MAHARASHTRA,401201.0,IN,False,Easy Ship
617,402-9211704-8331565,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3273,JNE3273-KR-XXL,kurta,XXL,B07R5X9V7R,Shipped,1,INR,499.0,AMBASAMUDRAM,TAMIL NADU,627401.0,IN,False,Easy Ship
619,403-3917470-4280308,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3518,JNE3518-KR-XL,kurta,XL,B08XW66LTH,Shipped,1,INR,487.0,Chennai,TAMIL NADU,600002.0,IN,False,Easy Ship
620,403-3917470-4280308,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3476,JNE3476-KR-XL,kurta,XL,B08B3YSLXV,Shipped,1,INR,363.0,Chennai,TAMIL NADU,600002.0,IN,False,Easy Ship
624,404-1435490-1121140,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5032,MEN5032-KR-XXL,kurta,XXL,B08YZ138QZ,Shipped,1,INR,562.0,BENGALURU,KARNATAKA,560078.0,IN,False,Easy Ship
637,406-7722012-4093964,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0385,J0385-KR-M,kurta,M,B09YYNG98D,Shipped,1,INR,1249.0,INDORE,MADHYA PRADESH,452010.0,IN,False,Easy Ship
